CSI CODE(full Code);Code_Main_Division;Name_Main_Division;Sub_Division1_Code;Sub_Division1_Name;Sub_Division2_Code;Sub_Division2_Name_2;ITEM DESCRIPTION_Code_Item;ITEM DESCRIPTION_Name_Item;UNIT;DAILY OUTPUT;MAN HOURS;EQUIP. HOURS;CREW STRUCTURE COMBINED;Crew_Number1;Crew_Memeber_ Desc.1;Crew_Memeber_ Number2;Crew_Memeber_ Desc.2;Crew_Memeber_ Number3;Crew_Memeber_ Desc.3;Crew_Memeber_ Number4;Crew_Memeber_ Desc.4;Crew_Memeber_ Number5;Crew_Memeber_ Desc.5;Crew_Memeber_ Number6;Crew_Memeber_ Desc.6;Crew_Memeber_ Number7;Crew_Memeber_ Desc.7;Crew_Memeber_ Number8;Crew_Memeber_ Desc.8;Crew_Memeber_ Number9;Crew_Memeber_ Desc.9;Crew_Memeber_ Number10;Crew_Memeber_ Desc.10;Crew_Memeber_ Number11;Crew_Memeber_ Desc.11;Crew_Memeber_ Number12;Crew_Memeber_ Desc.12;Crew_Memeber_ Number13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 554-0020;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 554;SITE DEMOLITION:;0020;Remove masonry existing catch basin or manhole, up to 3 m deep;EA;4.500;5.556;1.778;0.125 Labor Foreman 2.00 Building Labors 1.00 Light Equip. Operator 1.00 Backhoe loader,50HP;0.125;Labor Foreman;2.00;Building Labors;1.00;Light Equip. Operator;1.00;Backhoe loader,50HP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 554-0080;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 554;SITE DEMOLITION:;0080;Remove reinforced concrete existing catch basin or manhole, up to 3 m deep;EA;3.500;7.143;2.286;0.125 Labor Foreman 2.00 Building Labors 1.00 Light Equip. Operator 1.00 Backhoe loader,50HP;0.125;Labor Foreman;2.00;Building Labors;1.00;Light Equip. Operator;1.00;Backhoe loader,50HP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 554-0130;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 554;SITE DEMOLITION:;0130;Store catch basin or manhole cover at site storage;EA;14;1.786;0.571;0.125 Labor Foreman 2.00 Building Labors 1.00 Light Equip. Operator 1.00 Backhoe loader,50HP;0.125;Labor Foreman;2.00;Building Labors;1.00;Light Equip. Operator;1.00;Backhoe loader,50HP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 554-0700;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 554;SITE DEMOLITION:;0700;Remove only chain link, 3 meters high;EA;175;0.143;0.046;0.125 Labor Foreman 2.00 Building Labors 1.00 Light Equip. Operator 1.00 Backhoe loader,50HP;0.125;Labor Foreman;2.00;Building Labors;1.00;Light Equip. Operator;1.00;Backhoe loader,50HP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 554-0900;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 554;SITE DEMOLITION:;0900;Remove fire hydrants, thrust blocks and sore at site.;EA;4.000;8.250;6.000;0.125 Labor Foreman 2.00 Plumbers 1.00 Equip. operator 1.00 Common laborer 1.00 Backhoe50HP 2.00 Tool sets;0.125;Labor Foreman;2.00;Plumbers;1.00;Equip. operator;1.00;Common laborer;1.00;Backhoe50HP;2.00;Tool sets;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 554-1400;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 554;SITE DEMOLITION:;1400;Remove stone wall with mortar, disposal plied on Site;CUM;20.000;2.900;0.800;0.250 Labor Foreman 4.00 Building Laborers 1.00 Equip. operator, light 1.00 Equip. operator, heavy 1.00 Air compressor-250CFM-w/4air Tools & Hoses 1.00 Mechanic 1.00 F.E Loader-1.9m3;0.250;Labor Foreman;4.00;Building Laborers;1.00;Equip. operator, light;1.00;Equip. operator, heavy;1.00;Air compressor-250CFM-w/4air Tools & Hoses;1.00;Mechanic;1.00;F.E Loader-1.9m3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 554-1710;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 554;SITE DEMOLITION:;1710;"Pavement Removal, Bituminous; 75 mm Thick";CUM;175;0.331;0.091;0.250 Labor Foreman 4.00 Building Laborers 1.00 Equip. operator, light 1.00 Equip. operator, heavy 1.00 Air compressor-250CFM-w/4air Tools & Hoses 1.00 Mechanic 1.00 F.E Loader-1.9m3;0.250;Labor Foreman;4.00;Building Laborers;1.00;Equip. operator, light;1.00;Equip. operator, heavy;1.00;Air compressor-250CFM-w/4air Tools & Hoses;1.00;Mechanic;1.00;F.E Loader-1.9m3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 554-1900;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 554;SITE DEMOLITION:;1900;"Remove concrete pavement, 100mm thick; mesh reinforced";CUM;97.5;0.595;0.164;0.250 Labor Foreman 4.00 Building Laborers 1.00 Equip. operator, light 1.00 Equip. operator, heavy 1.00 Air compressor-250CFM-w/4air Tools & Hoses 1.00 Mechanic 1.00 F.E Loader-1.9m3;0.250;Labor Foreman;4.00;Building Laborers;1.00;Equip. operator, light;1.00;Equip. operator, heavy;1.00;Air compressor-250CFM-w/4air Tools & Hoses;1.00;Mechanic;1.00;F.E Loader-1.9m3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 554-1900;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 554;SITE DEMOLITION:;1900;"Remove concrete pavement, 150mm thick; mesh reinforced";CUM;65.000;0.892;0.246;0.250 Labor Foreman 4.00 Building Laborers 1.00 Equip. operator, light 1.00 Equip. operator, heavy 1.00 Air compressor-250CFM-w/4air Tools & Hoses 1.00 Mechanic 1.00 F.E Loader-1.9m3;0.250;Labor Foreman;4.00;Building Laborers;1.00;Equip. operator, light;1.00;Equip. operator, heavy;1.00;Air compressor-250CFM-w/4air Tools & Hoses;1.00;Mechanic;1.00;F.E Loader-1.9m3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 554-1900;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 554;SITE DEMOLITION:;1900;"Remove concrete pavement, 200mm thick; mesh reinforced";CUM;48.750;1.190;0.328;0.250 Labor Foreman 4.00 Building Laborers 1.00 Equip. operator, light 1.00 Equip. operator, heavy 1.00 Air compressor-250CFM-w/4air Tools & Hoses 1.00 Mechanic 1.00 F.E Loader-1.9m3;0.250;Labor Foreman;4.00;Building Laborers;1.00;Equip. operator, light;1.00;Equip. operator, heavy;1.00;Air compressor-250CFM-w/4air Tools & Hoses;1.00;Mechanic;1.00;F.E Loader-1.9m3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
